Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
144	Prescott, Dak	DAL	QB	145.04	95	213		4896		
145	Moore, D.J.	CAR	WR	145.35	25	231		4893		
146	Hines, Nyheim	IND	RB	145.91	37	240		4647		
147	Ginn, Ted	NO	WR	146.28	78	239		4896		
148	Winston, Jameis	TB	QB	147.99	92	236		4895		
149	Rams, Los Angeles	LA	TDSP	148.52	57	198		4896		
150	Powell, Bilal	NYJ	RB	148.80	73	238		4891		
151	Richardson, Paul	WAS	WR	150.48	86	227		4895		
152	Carr, Derek	OAK	QB	150.50	76	212		4896		
153	Ebron, Eric	IND	TE	152.01	84	212		4896		
154	Seferian-Jenkins, Austin	JAX	TE	155.51	85	227		4896		
155	Cook, Jared	OAK	TE	156.98	73	231		4896		
156	Murray, Latavius	MIN	RB	157.94	34	238		4895		
157	Trubisky, Mitchell	CHI	QB	157.98	98	236		4895		
158	Williams, Mike	LAC	WR	159.45	24	239		4892		
159	Clay, Charles	BUF	TE	159.48	95	240		4896		
160	Blount, LeGarrette	DET	RB	160.90	51	239		4885		
161	Williams, Tyrell	LAC	WR	162.36	84	239		4896		
162	Breida, Matt	SF	RB	164.90	67	240		4875		
163	Bortles, Blake	JAX	QB	165.83	92	238		4896		
164	Eagles, Philadelphia	PHI	TDSP	168.54	82	203		4896		
165	Vikings, Minnesota	MIN	TDSP	168.99	63	210		4896		
166	McDonald, Vance	PIT	TE	169.05	98	239		4878		
167	Martin, Doug	OAK	RB	170.37	70	240		4855		
168	Hooper, Austin	ATL	TE	170.85	105	235		4893		
169	Barber, Peyton	TB	RB	171.64	49	240		4825		
170	Keenum, Case	DEN	QB	171.85	114	240		4881		
171	Godwin, Chris	TB	WR	173.73	82	239		4877		
172	Chargers, Los Angeles	LAC	TDSP	173.91	89	212		4896		
173	Westbrook, Dede	JAX	WR	176.29	83	240		4850		
174	Manning, Eli	NYG	QB	176.36	108	240		4875		
175	Cole, Keelan	JAX	WR	177.24	87	240		4857		
176	Miller, Anthony	CHI	WR	179.18	58	240		4464		
177	Ekeler, Austin	LAC	RB	179.25	98	240		4838		
178	Dalton, Andy	CIN	QB	179.57	101	240		4869		
179	Watson, Benjamin	NO	TE	179.83	89	240		4762		
180	Seals-Jones, Ricky	ARZ	TE	179.88	109	240		4872		
181	Gallup, Michael	DAL	WR	181.17	79	240		4493		
182	Ravens, Baltimore	BAL	TDSP	182.59	95	212		4896		
183	Murray, DeMarco	FA	RB	184.39	51	240		4312		
184	Wallace, Mike	PHI	WR	185.34	100	240		4865		
185	Texans, Houston	HOU	TDSP	187.94	109	224		4896		
186	Perine, Samaje	WAS	RB	190.32	55	240		4121		
187	Saints, New Orleans	NO	TDSP	193.07	130	221		4896		
188	Gesicki, Mike	MIA	TE	193.48	85	240		4452		
189	Gore, Frank	MIA	RB	193.88	60	240		4619		
190	Broncos, Denver	DEN	TDSP	194.34	97	226		4896		
191	Moncrief, Donte	JAX	WR	196.50	100	240		4606		
192	Amendola, Danny	MIA	WR	199.72	91	240		4664		
193	Kirk, Christian	ARZ	WR	199.99	90	240		4470		
194	Matthews, Jordan	NE	WR	200.29	62	240		3897		
195	Steelers, Pittsburgh	PIT	TDSP	201.52	82	228		4896		
196	Allen, Javorius	BAL	RB	201.93	19	240		4296		
197	Sutton, Courtland	DEN	WR	202.21	84	240		4197		
198	Yeldon, T.J.	JAX	RB	202.73	105	240		4358		
199	Taylor, Tyrod	CLE	QB	203.00	110	240		4237		
200	Bears, Chicago	CHI	TDSP	203.22	135	233		4896		
201	Wilkins, Jordan	IND	RB	203.29	102	240		3712		
202	Henry, Hunter	LAC	TE	204.22	28	226		1065		
203	Dixon, Kenneth	BAL	RB	204.71	98	240		3819		
